7507700,Parkallen,1 1 1/2 Storey With Basement,1951,126.760,22-JAN-2010,307000,6203 109A STREET NW,775.092,351730
7498603,Parkallen,1 Bungalow With Basement,1954,113.000,02-JUL-2010,418000,6217 109A STREET NW,662.025,488558
7497902,Parkallen,1 1 1/2 Storey With Basement,1947,100.200,07-OCT-2011,249900,6315 109A STREET NW,573.486,295607
7499403,Parkallen,1 1 1/2 Storey With Basement,1950,104.740,14-SEP-2012,0,6334 109A STREET NW,632.452,0
7497209,Parkallen,1 Bungalow With Basement,1952,91.700,23-MAY-2014,440000,6339 109A STREET NW,654.801,443520
7497100,Parkallen,1 1 1/2 Storey With Basement,1952,111.560,26-JUN-2013,385000,6343 109A STREET NW,650.393,423808
7502602,Parkallen,1 2 Storey With Basement,1950,185.160,29-JUL-2013,765000,6403 110 STREET NW,787.625,835380
7473101,Parkallen,1 2 Storey With Basement,1965,189.710,07-AUG-2009,510000,6602 110 STREET NW,1,168.320,614244
7453103,Parkallen,1 Bungalow With Basement,1951,73.700,11-FEB-2011,275000,6603 110 STREET NW,552.427,329230
7472905,Parkallen,1 Bungalow With Basement,1950,73.900,21-NOV-2011,300000,6610 110 STREET NW,644.619,357030
7472806,Parkallen,1 Bungalow With Basement,1950,74.800,05-OCT-2009,360000,6614 110 STREET NW,574.441,425016
7472707,Parkallen,1 Bungalow With Basement,1950,73.900,13-AUG-2010,350000,6618 110 STREET NW,579.830,411565
7472608,Parkallen,1 Bungalow With Basement,1950,74.800,20-JUL-2010,475000,6622 110 STREET NW,554.985,555180
7472509,Parkallen,1 Bungalow With Basement,1950,73.900,15-NOV-2011,1,6626 110 STREET NW,556.446,1
7472400,Parkallen,1 1 1/2 Storey With Basement,1952,107.270,22-NOV-2011,418000,6630 110 STREET NW,569.398,497462
7472400,Parkallen,1 1 1/2 Storey With Basement,1952,107.270,11-JAN-2010,365000,6630 110 STREET NW,569.398,418181
7477409,Parkallen,1 2 Storey Duplex With A Basement,1950,193.200,17-AUG-2011,534900,6718 110 STREET NW,647.382,625191
7516206,Parkallen,1 1 1/2 Storey With Basement,1955,127.030,05-AUG-2011,380000,6802 110 STREET NW,650.034,444144
7516206,Parkallen,1 1 1/2 Storey With Basement,1955,127.030,17-AUG-2009,375000,6802 110 STREET NW,650.034,451650
7516107,Parkallen,1 1 1/2 Storey With Basement,1950,115.330,29-AUG-2012,426000,6806 110 STREET NW,578.518,484192
7515604,Parkallen,1 1 1/2 Storey With Basement,1950,113.712,26-NOV-2009,0,6826 110 STREET NW,578.473,0
7515505,Parkallen,1 1 1/2 Storey With Basement,1950,114.370,21-JUL-2009,335000,6902 110 STREET NW,578.460,407528
7515208,Parkallen,1 1 1/2 Storey With Basement,1950,112.740,24-JUL-2012,380000,6914 110 STREET NW,546.071,430160
7515109,Parkallen,1 1 1/2 Storey With Basement,1950,115.080,16-JUL-2009,340000,6918 110 STREET NW,546.043,413610
7516602,Parkallen,1 1 1/2 Storey With Basement,1951,129.360,01-JUN-2011,356000,6807 111 STREET NW,571.781,416093
7516602,Parkallen,1 1 1/2 Storey With Basement,1951,129.360,19-MAY-2011,0,6807 111 STREET NW,571.781,0
7516800,Parkallen,1 1 1/2 Storey With Basement,1951,128.380,27-NOV-2013,418000,6815 111 STREET NW,571.815,442077
7483605,Parkallen,1 1 1/2 Storey With Basement,1951,136.402,29-AUG-2012,489000,6830 111 STREET NW,626.839,555797
7517501,Parkallen,1 Bungalow With Basement,1950,75.680,07-MAR-2014,140000,6843 111 STREET NW,571.888,143402
7517501,Parkallen,1 Bungalow With Basement,1950,75.680,04-SEP-2013,0,6843 111 STREET NW,571.888,0
7517501,Parkallen,1 Bungalow With Basement,1950,75.680,25-SEP-2013,1,6843 111 STREET NW,571.888,1
7528201,Parkallen,1 Bungalow With Basement,1951,109.310,20-JUN-2014,397500,7103 111 STREET NW,541.696,397500
7462203,Parkallen,1 Bungalow With Basement,1950,85.860,17-JUN-2010,0,6402 111A STREET NW,855.262,0
7462104,Parkallen,1 Bungalow With Basement,1950,71.070,26-MAY-2014,469000,6406 111A STREET NW,638.823,472752
7462005,Parkallen,1 2 Storey With Basement,1965,155.344,18-AUG-2011,475000,6410 111A STREET NW,578.024,555180
7461908,Parkallen,1 1 1/2 Storey With Basement,1950,147.930,09-SEP-2013,0,6414 111A STREET NW,580.479,0
7457500,Parkallen,1 Bungalow With Basement,1950,79.380,29-FEB-2012,390000,6302 112 STREET NW,805.576,457665
7465107,Parkallen,1 Bungalow With Basement,1950,71.790,19-JUN-2013,325000,6311 112 STREET NW,546.381,357760
7465107,Parkallen,1 Bungalow With Basement,1950,71.790,23-JAN-2014,331000,6311 112 STREET NW,546.381,344505
7465305,Parkallen,1 1 1/2 Storey With Basement,1951,111.130,10-DEC-2013,473250,6319 112 STREET NW,519.946,496534
7458003,Parkallen,1 Bungalow With Basement,1954,103.700,18-DEC-2012,348000,6322 112 STREET NW,520.387,401905
7465404,Parkallen,1 1 1/2 Storey With Basement,1950,102.010,29-JUN-2010,402000,6323 112 STREET NW,519.958,467044
7458201,Parkallen,1 1 1/2 Storey With Basement,1950,126.680,23-APR-2013,481905,6330 112 STREET NW,520.243,539011
7465701,Parkallen,1 1 1/2 Storey With Basement,1950,99.000,19-OCT-2011,0,6335 112 STREET NW,520.001,0
7458904,Parkallen,1 1 1/2 Storey With Basement,1950,111.080,02-SEP-2010,354000,6354 112 STREET NW,519.968,418747
7471501,Parkallen,1 Bungalow With Basement,1952,93.980,31-JUL-2012,304000,6524 112 STREET NW,555.813,344128
7471501,Parkallen,1 Bungalow With Basement,1952,93.980,06-SEP-2013,520000,6524 112 STREET NW,555.813,558844
